a  阿 啊
shan  山 舢 杉 衫 删 姗 珊 栅 跚 苫 扇 煽 膻 闪 陕 讪 汕 疝 单 骟 善 缮 膳 鳝 擅 嬗 赡 蟮
shang  伤 殇 商 墒 上 垧 晌 赏 尚 绱 裳
shao  捎 梢 稍 筲 艄 鞘 烧 勺 芍 苕 韶 少 邵 劭 绍 哨
she  奢 赊 畲 猞 舌 折 佘 蛇 舍 设 社 射 麝 涉 赦 摄 慑 歙
shei  谁 
shen  申 伸 呻 绅 砷 身 参 糁 莘 娠 深 什 甚 神 沈 审 婶 肾 甚 渗 蜃 慎
sheng  升 生 牲 笙 甥 声 绳 省 圣 胜 晟 盛 剩 嵊
shi  尸 失 师 狮 诗 虱 施 湿 嘘 十 什 石 时 识 实 拾 食 蚀 史 驶 矢 豕 使 始 屎 士 仕 氏 舐 示 世 市 柿 式 试 拭 弑 似 势 事 侍 峙 恃 饰 视 是 适 室 逝 誓 莳 释 谥 嗜 噬 螫 匙
shou  收 熟 手 守 首 寿 受 授 绶 狩 售 兽 瘦
shu  书 抒 纾 舒 枢 叔 菽 淑 姝 殊 梳 疏 蔬 输 秫 孰 塾 熟 赎 暑 署 薯 曙 黍 属 蜀 鼠 数 术 述 戍 束 树 竖 腧 恕 庶 墅 漱 澍
shua  刷 唰 耍
shuai  衰 摔 甩 帅 率 蟀
shuan  闩 拴 栓 涮
shuang  双 霜 孀 爽
shui  谁 水 说 税 睡
shun  吮 顺 舜 瞬
shuo  说 妁 烁 铄 朔 硕 数
si  私 司 丝 咝 思 斯 厮 撕 嘶 死 巳 祀 四 泗 驷 寺 似 姒 伺 饲 嗣 俟 食 肆
song  忪 松 凇 淞 嵩 怂 耸 悚 讼 颂 宋 送 诵
sou  搜 嗖 馊 溲 飕 艘 叟 嗾 擞 嗽
su  苏 酥 俗 夙 诉 肃 素 嗉 速 宿 缩 粟 谡 塑 溯 蔌 簌
suan  狻 酸 蒜 算
sui  尿 虽 荽 眭 绥 隋 随 遂 髓 岁 碎 崇 隧 燧 穗
sun  孙 荪 狲 飧 损 笋 榫
suo  唆 梭 羧 蓑 缩 所 索 唢 琐 锁 嗦
ta  他 她 它 趿 塌 踏 塔 獭 拓 沓 榻
tai  台 苔 胎 抬 跆 太 汰 态 肽 钛 泰
tan  坍 贪 摊 滩 瘫 坛 昙 谈 痰 弹 覃 谭 潭 檀 忐 坦 袒 毯 叹 炭 碳 探
tang  汤 耥 趟 镗 唐 塘 搪 糖 堂 棠 樘 膛 螳 帑 倘 淌 躺 傥 烫
tao  叨 涛 焘 绦 掏 滔 韬 逃 桃 陶 萄 啕 淘 讨 套
te  忒 特 慝 忑
teng  疼 腾 誊 滕 藤
ti  体 剔 踢 梯 锑 提 缇 题 啼 蹄 屉 剃 涕 倜 惕 替 嚏
tian  天 添 田 佃 恬 甜 填 忝 舔 腆 掭
